Date,AAP,AXP,BA,CAT,CVX,DIS,DOW,GS,HD,IBM,INT,JNJ,JPM,KO,MCD,MMM,MRK,NKE,PFE,PG,RTX,TRV,UNH,V,VZ,WBA,WMT,XOM
2020-05-01,133.479996,89.330002,137.529999,112.470001,88.973793,118.019997,36.119999,179.929993,241.880005,116.823257,23.790001,143.376099,89.470001,45.029999,184.410004,145.001831,76.370003,93.75,37.129967,112.599998,59.473198,100.099998,289.940002,190.540955,54.099998,39.15612,123.785492,43.751682
2020-04-01,120.910004,90.745918,141.020004,115.321251,90.668907,108.150002,36.689999,183.419998,219.830002,123.898369,25.0,149.007065,94.775154,45.889999,187.559998,150.427994,79.339996,87.18,37.98148,117.089134,64.240959,101.209999,292.470001,178.421249,56.838726,42.804764,121.01767,45.586117
2020-03-01,93.057098,85.137077,149.139999,114.984344,71.411621,96.599998,29.24,154.589996,185.469131,109.461983,25.071419,130.227264,89.10408,43.865299,165.350006,135.169342,76.309601,82.739998,32.317924,109.271271,58.843159,98.697426,248.304443,160.850662,53.158306,45.237186,112.624062,37.247791
2020-02-01,132.605362,109.322731,273.482849,123.109741,90.926765,117.650002,39.752926,199.549896,216.392242,127.100426,28.158051,132.707962,114.915863,53.024971,192.962479,146.448135,75.932709,89.132698,33.090225,112.479874,81.07634,119.023033,253.860382,181.193741,53.583729,44.854961,106.73613,49.747387
2020-01-01,131.37883,128.706467,316.387573,129.248459,104.369987,138.309998,45.320896,236.305161,226.584061,140.362228,38.951305,146.90834,130.163101,57.892284,212.639343,155.69191,84.739952,96.033562,36.499691,123.06337,93.251137,130.755463,271.274963,198.350143,58.201843,49.844292,113.486435,60.075966
2019-12-01,159.648163,123.374672,323.833313,145.317184,117.394318,143.768646,53.84008,228.532684,215.550034,130.899277,43.133354,143.947876,137.086258,54.868797,196.381088,173.11969,89.590477,101.029694,38.401119,123.339874,92.977966,135.228455,291.591064,187.314606,60.121017,57.793896,117.272278,67.483917
2019-11-01,156.578003,119.043831,361.902222,142.414383,112.988373,150.677261,51.838451,218.771347,217.65242,129.766998,42.12009,134.744766,129.573059,52.543274,192.039841,165.164185,85.876839,92.988693,37.39286,120.535347,91.371117,135.001358,277.595703,183.627609,58.985184,57.989254,117.51899,65.103073
2019-10-01,161.960739,115.786423,335.939117,134.537766,112.033386,129.146255,49.0411,210.894196,231.5401,129.072067,41.494247,129.403564,121.870331,53.556744,194.231979,160.513855,85.364616,89.069824,37.24725,122.174316,88.439163,129.412506,250.646515,178.004639,58.600636,53.299522,115.713135,64.567955
2019-09-01,164.807068,116.773697,376.025269,123.319771,114.406403,129.543869,46.2826,204.815826,227.623276,140.354889,39.576939,126.796684,114.816841,53.177788,212.016006,159.939865,82.374245,93.416389,34.878647,122.046753,84.090508,146.033188,214.542282,171.187393,58.494038,53.815197,117.114395,67.472893
2019-08-01,137.455475,118.837082,357.605164,116.182831,112.402039,136.442535,40.724983,200.277557,223.591141,129.286041,38.050941,124.86142,107.178001,53.763874,214.103012,155.90596,84.61512,83.83033,34.189899,117.974602,79.747932,144.334091,231.009079,179.695999,56.362045,49.354652,112.200409,64.633873
2019-07-01,150.099991,122.403351,335.10321,127.571281,117.548546,141.28334,46.275349,216.208618,209.640625,141.410492,38.68512,126.670731,112.372536,51.409752,206.981628,168.438614,81.209778,85.348206,37.354031,115.080521,81.805298,144.000168,245.82724,176.893494,53.003937,52.536339,108.390343,70.183624
2019-06-01,153.527527,121.48806,357.526581,132.047455,118.818474,137.954025,47.106476,193.500473,202.607849,131.546844,35.523304,135.483795,108.303879,49.354122,203.975922,167.108215,81.50695,83.284698,41.662628,106.900871,79.723427,146.040192,239.829071,172.471176,54.787678,52.709881,108.49836,72.326134
2019-05-01,154.384094,112.896111,333.608948,116.08046,107.647743,130.445786,44.028481,178.434921,184.955063,119.717407,28.786129,126.708397,102.646507,47.619167,193.618637,152.700272,76.996613,76.316238,39.580452,100.329865,76.911156,142.182129,237.656952,160.080933,52.121655,47.172291,99.085136,66.038292
2019-04-01,165.659119,114.969269,368.843903,134.266159,113.519432,135.316269,53.416073,201.344254,198.447952,132.236877,30.475363,136.418015,111.567276,47.551323,192.935074,181.146957,76.51059,86.892097,38.712959,103.082748,86.843216,140.40448,229.076523,163.156891,54.286373,51.216454,100.452637,74.912453
2019-03-01,169.790314,107.192184,372.486572,130.481461,116.469475,109.689461,48.613995,187.723816,185.560699,133.019348,28.48222,135.055756,97.31974,45.025909,185.444977,198.610703,80.301033,83.096954,40.486073,100.73027,78.488335,133.18335,242.099335,154.980698,56.127884,60.490288,94.756042,75.39769
2019-02-01,161.078247,105.66227,427.507721,132.263077,111.940331,111.477608,,191.555557,179.03334,128.719696,27.29916,131.142685,100.328835,43.565399,178.391403,196.876785,78.485893,84.596863,41.324966,95.405746,76.075417,129.056564,237.164536,146.717117,54.030083,67.648865,96.174522,72.936279
2019-01-01,158.50946,100.308929,374.705688,127.417877,107.325279,110.173546,,192.831314,177.476425,125.262436,24.538679,127.725929,98.700508,46.246197,173.481369,190.146179,71.862526,80.797752,40.116646,92.659035,71.474693,121.900223,264.560547,133.731277,51.725132,68.665634,93.104393,67.629639
2018-12-01,156.716766,93.100761,313.372223,121.590485,101.839668,107.49234,,162.68103,166.152695,105.926056,21.053232,123.858055,93.093178,45.496727,172.307236,180.880936,73.260666,73.160057,41.250687,88.288788,64.458572,115.564163,243.920502,130.690369,52.814873,64.931129,90.009438,62.932121
2018-11-01,176.87117,109.656113,335.396851,129.819626,110.263588,113.217415,,184.953766,173.335464,114.347557,25.36025,140.097733,106.033913,48.047421,181.801819,196.041122,76.069901,73.90773,43.354313,90.776466,73.336281,125.81295,274.610107,140.116272,56.647755,80.026131,94.357727,72.633743
2018-10-01,159.005905,99.977402,343.231323,115.353264,103.505386,112.570404,,218.59053,169.067459,106.213402,31.466766,133.507721,103.241554,45.645042,170.60495,179.390076,70.57608,73.829025,40.381504,84.430511,74.76281,120.756096,255.08017,136.299683,53.044884,75.394882,96.89904,72.798195
2018-09-01,167.476166,103.63665,359.712952,144.99028,113.359947,114.638885,,217.494553,199.126221,139.13652,27.16024,131.772003,106.859077,43.662537,161.336945,198.671738,67.555191,83.352821,41.328674,79.241684,84.152534,124.448975,258.784515,148.401993,49.60704,68.90168,90.743828,77.676987
2018-08-01,163.197968,103.140327,329.926666,132.021118,108.775726,109.815689,,229.895004,192.009109,133.343567,27.50367,127.602768,108.506859,42.13118,155.486343,197.545609,65.317322,80.674782,38.608551,78.975082,78.849907,126.262306,261.138458,145.02002,50.517601,64.390175,92.093185,72.498085
2018-07-01,140.513626,96.506927,342.929688,135.89444,115.94725,110.43766,,229.527634,188.90097,131.932587,27.307423,125.546967,108.268875,44.078457,150.991287,198.856842,62.727108,75.482925,37.130035,76.311508,81.268692,124.861526,246.314117,134.999237,47.431137,63.507362,85.723724,73.709869
2018-06-01,134.953461,95.032967,322.91983,128.21138,116.094177,101.928246,,213.228806,186.586578,127.171593,19.971933,114.955231,98.143684,41.094044,149.228714,184.246033,57.360485,77.983704,33.735985,73.65081,74.856522,116.676025,237.807816,130.76387,46.209541,56.369591,82.284393,74.813118
2018-05-01,127.912415,95.323898,337.262634,143.558578,113.151627,96.735069,,217.592606,177.416351,127.224907,20.431847,112.491432,100.790375,40.28828,152.390625,183.468887,56.254856,70.271461,33.08754,69.03701,74.311562,122.569908,234.095428,128.848831,43.784706,58.238911,78.800156,72.728516
2018-04-01,113.820366,95.402092,319.449463,135.740204,113.888969,97.571426,,229.585815,175.752029,130.511124,21.009186,118.952019,101.940552,40.485035,159.466827,180.827072,55.631161,66.934059,33.713745,67.627922,71.531273,125.507301,229.142288,125.063782,44.764523,62.028778,84.451927,69.604172
2018-03-01,117.836433,90.117538,314.009766,138.579926,103.811829,97.678398,,242.619415,168.551956,138.136856,23.96269,120.513107,103.05574,40.335106,148.933456,204.203659,51.027016,64.829475,32.682343,74.11586,74.906914,131.744629,206.745468,117.907715,43.376686,61.113995,84.435425,66.793144
2018-02-01,113.562325,94.204132,345.183502,145.396973,100.877747,100.323616,,252.574295,172.362915,138.929779,22.30336,121.362869,108.238037,40.140068,149.284286,217.793777,50.792828,65.405159,33.130547,73.405357,79.774246,131.877457,218.493271,120.969589,43.304127,63.929775,85.422409,67.118423
2018-01-01,116.28582,95.692429,337.712097,152.353226,112.98275,105.682114,,257.338959,189.980286,145.946259,27.222792,129.12793,107.835609,44.198658,161.965988,231.656143,55.504883,66.566322,33.796623,80.105644,81.710274,142.237869,228.753265,122.238922,48.493618,69.841133,101.166855,77.362541
2017-12-01,99.029663,95.605774,281.04715,147.486282,112.838524,103.719643,,244.726044,179.228302,136.781158,27.406685,130.557571,99.696892,42.610512,162.893448,217.664322,52.268639,60.831726,33.048428,85.245621,75.529175,127.999229,212.986496,112.192528,47.471184,67.391205,93.225639,74.119148
