Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,V,VZ,WBA,WMT,XOM
2020-05-22,318.890015,89.330002,137.529999,112.470001,44.900002,90.279999,118.019997,36.119999,179.929993,241.880005,118.389999,62.259998,144.369995,89.470001,45.029999,184.410004,146.440002,76.370003,183.509995,93.75,37.5,112.599998,60.0,100.099998,289.940002,190.860001,54.099998,39.599998,124.330002,44.599998
2020-05-21,316.850006,89.830002,139.0,114.059998,44.639999,92.040001,117.830002,35.82,180.100006,240.880005,119.120003,61.98,145.700012,90.169998,45.169998,185.080002,145.809998,76.550003,183.429993,94.260002,37.259998,111.620003,60.099998,99.169998,286.910004,190.619995,53.970001,39.75,124.989998,44.560001
2020-05-20,319.230011,90.730003,133.320007,115.690002,45.439999,93.0,119.919998,36.18,181.440002,238.190002,121.379997,63.099998,146.663315,91.330002,45.889999,184.100006,148.209991,76.889999,185.660004,92.949997,37.630001,113.279999,57.799999,95.540001,287.98999,193.860001,54.259998,40.139999,125.449997,45.369999
2020-05-19,313.140015,87.260002,130.440002,112.080002,44.610001,89.620003,114.370003,35.639999,177.830002,238.100006,120.290001,60.290001,147.994095,88.669998,44.540001,179.570007,146.922775,77.550003,183.119995,91.510002,37.68,112.440002,57.939999,93.269997,289.049988,189.360001,54.380001,39.77,124.949997,43.939999
2020-05-18,314.959991,88.410004,135.440002,115.019997,45.060001,92.550003,116.849998,36.740002,181.880005,245.350006,121.559998,59.919998,149.48378,90.449997,44.970001,179.830002,147.804031,79.720001,184.396439,91.040001,38.07,116.209999,57.900002,95.300003,293.359985,191.380005,55.720001,40.402,127.660004,45.34
2020-05-15,307.709991,82.220001,120.0,107.919998,44.27,87.870003,109.050003,33.560001,171.869995,239.330002,116.980003,58.279999,149.404327,85.900002,43.259998,173.809998,137.327942,79.779999,182.651306,86.989998,37.759998,114.610001,52.73,90.309998,290.959991,183.490005,54.709999,37.969574,125.940002,42.0
2020-05-14,309.540009,83.809998,122.519997,106.190002,43.849998,88.747124,105.910004,33.509998,174.449997,234.479996,116.949997,59.080002,146.623596,87.519997,43.700001,175.410004,134.654449,80.050003,180.02861,86.550003,37.919998,113.809998,53.860001,90.220001,290.609985,180.899994,54.91,38.414528,123.419998,42.299999
2020-05-13,307.649994,78.029999,121.5,104.480003,41.950001,87.416649,102.919998,32.349998,171.800003,230.100006,115.730003,57.740002,146.117111,84.029999,43.939999,172.820007,134.783173,77.889999,179.250778,86.019997,37.049999,113.919998,53.624996,89.860001,278.0,177.089996,54.849998,37.920132,123.709999,41.93
2020-05-12,311.410004,83.139999,125.220001,105.0,43.220001,89.781929,104.559998,33.790001,177.210007,232.899994,120.260002,58.389999,146.127045,87.029999,44.82,176.539993,140.130142,77.190002,182.003098,88.260002,37.360001,114.550003,56.221996,93.959999,287.700012,179.169998,55.459999,40.075699,123.779999,44.119999
2020-05-11,315.01001,85.330002,128.910004,108.610001,43.32,92.019089,107.769997,33.900002,183.160004,236.559998,122.589996,60.130001,148.083481,89.970001,45.540001,180.880005,144.298798,77.910004,186.221359,90.93,38.099998,115.309998,56.856377,95.510002,288.690002,183.253159,56.400002,41.24247,123.669998,44.870003
2020-05-08,310.130005,89.5,133.440002,112.110001,42.990002,94.088707,109.160004,34.330002,185.389999,234.429993,122.989998,59.669998,147.6763,92.699997,46.110001,181.229996,147.051483,76.400002,184.167068,90.459999,37.220001,115.949997,58.154873,97.339996,287.0,184.780594,57.0,41.202919,122.940002,45.301632
2020-05-07,302.919983,86.730003,128.649994,107.290001,41.369999,91.299652,105.57,32.849998,182.320007,229.449997,121.230003,59.169998,146.573944,91.209999,44.599998,181.119995,144.308701,75.599998,183.090088,88.559998,36.959999,112.169998,56.509445,95.800003,285.0,182.414566,55.580002,40.204243,121.889999,43.398533
2020-05-06,299.81839,84.0,121.860001,107.669998,41.150002,88.747124,100.879997,31.959999,176.919998,223.919998,121.540001,59.18,147.060562,90.269997,44.75,176.970001,144.764175,77.120003,182.03302,88.440002,38.129997,113.099998,57.411457,93.290001,288.769989,178.481155,55.639999,40.73819,122.760002,43.153286
2020-05-05,296.756683,86.739998,125.400002,108.910004,41.459999,91.546036,101.059998,33.369999,178.300003,225.610001,120.957809,58.419998,148.470795,92.0,45.400002,179.240005,145.982086,78.010002,180.257965,87.199997,38.129997,116.010002,58.481976,96.849998,293.040009,178.141724,56.509998,41.548996,124.183739,43.97731
2020-05-04,292.368561,86.379997,131.460007,107.720001,41.349998,90.117012,103.18,33.060001,176.029999,221.839996,120.069717,57.664272,147.249268,92.139999,45.139999,181.869995,146.942566,76.860001,178.343292,85.75,37.248783,115.769997,58.33329,96.910004,287.540009,175.855545,56.240002,41.974178,123.158241,44.02636
2020-05-01,288.289612,88.32,133.369995,110.879997,40.919998,88.14595,105.5,33.93,177.100006,218.570007,120.25721,57.14719,147.269119,93.25,45.599998,182.660004,147.14061,77.669998,174.085175,85.540001,37.268585,116.82,60.573452,96.050003,284.51001,175.27652,56.830002,41.193031,122.38166,42.319454
2020-04-30,293.006836,91.25,141.020004,116.379997,42.380001,90.668907,108.150002,36.689999,183.419998,219.830002,123.898369,59.643089,149.007065,95.760002,45.889999,187.559998,150.427994,79.339996,178.71228,87.18,37.98148,117.870003,64.240959,101.209999,292.470001,178.421249,57.450001,42.804764,121.01767,45.586117
